Angula_finalr.fil	externX	p0 1387.3   	p1 1382.42  	p2 1386.76  	p3 1384.14  												totalArea	
05	        85	  1039.4	  6842.1	  276.07	  132.46												  8290.011	
15	        75	  1094.8	  6061.3	  172.39	  102.51												  7431.037	
25	        65	  1019.3	  5171.4	  138.05	  100.98												  6429.677	
35	        55	  671.46	  4609.1	  180.96	  105.35												  5566.844	
45	        45	  502.86	  4280.2	  55.238	  79.527												   4917.87	
55	        35	   232.2	  3411.3	  40.984	  90.664												  3775.156	
																		
																		
																		
																		
																		
																		
																		
																		
