oxido_infinito.fil	externX	p0 1382.79  	p1 1384.21  														totalArea	
05	        85	  4287.1	  1167.4														  5454.482	
15	        75	  4287.1	  1167.4														  4985.648	
25	        65	  3401.4	  1016.5														  4417.939	
35	        55	  2452.3	  797.08														  3249.412	
45	        45	  1945.5	  644.31														  2589.815	
55	         5	  901.88	  473.77														  1375.644	
																		
																		
																		
																		
																		
																		
																		
																		
