silicio_infinito.fil	externX	p0 1387.3   	p1 1386.84  														totalArea	
05	        85	  6853.3	  875.09														  7728.421	
15	        75	  4382.8	  842.15														  5224.958	
25	        65	  2986.9	  503.84														  3490.729	
35	        55	  1721.9	   206.5														  1928.387	
45	        45	  432.33	  23.578														  455.9053	
55	        35	  6853.3	  875.09														  91.13596	
																		
																		
																		
																		
																		
																		
																		
																		
